,RecordNo,ActivityType,WaterUse,IrrigationOf,PrimaryIrrigationType,IrrigatedAreaHa,MaxRateLs,VolumeM3,ConsecutiveDayPeriod
0,CRC133296,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,2.0,35.0,1.0
0,CRC135665,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,4.5,87.0,1.0
0,CRC140055,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,10.0,184.4,1.0
0,CRC140934,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,5.0,97.5,1.0
0,CRC141296,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,1.8,45.4,1.0
0,CRC150058,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,4.9,49.0,1.0
0,CRC150219,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,2.0,101.0,1.0
0,CRC154725,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,,,
0,CRC156014,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,4.6,93.0,1.0
0,CRC157107,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,3.5,302.0,1.0
0,CRC157830,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,,,
0,CRC163200,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,4.9,212.25,1.0
0,CRC176517,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,,,
1,CRC176517,Use Groundwater,Stockwater,,,,,,
0,CRC184273,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,4.9,172.0,1.0
0,CRC185544,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,4.0,28512.0,150.0
0,CRC185862,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,,,
0,CRC190093,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,4.9,423.0,1.0
0,CRC191064,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,2.4,213.0,1.0
0,CRC191987,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,4.3,324.0,1.0
0,CRC192068,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,,,
1,CRC192068,Use Groundwater,Stockwater,,,,,,
0,CRC971178,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,1.0,86.0,1.0
0,CRC173644,Use Surface Water,Scheme - Stockwater,,,,1526.0,,
0,CRC970696.2,Use Surface Water,Dairy Shed (Washdown/Cooling),,,,3.0,54.0,1.0
0,CRC133965,Use Surface Water,Scheme - Stockwater,,,,,,
1,CRC133965,Use Surface Water,Power Generation,,,,,,
2,CRC133965,Use Surface Water,Water Storage - To,,,,,,
3,CRC133965,Use Surface Water,Irrigation,Lifestyle,Spray,0.0,,,
0,CRC169499,Use Surface Water,Scheme - Stockwater,,,,1165.0,,
0,CRC155937,Use Surface Water,Scheme - Stockwater,,,,3920.0,,
1,CRC155937,Use Surface Water,Scheme - Irrigation,,,,1720.0,,
0,CRC981876.1,Use Surface Water,Scheme - Stockwater,,,,15.0,6500.0,7.0
0,CRC192050,Use Surface Water,Scheme - Stockwater,,,,5.25,454.0,1.0
